len_payload,num_special_chars,has_http,num_script_tags,num_iframe_tags,num_img_tags,num_svg_tags,num_body_tags,has_javascript_protocol,has_alert,has_onerror,has_onload,has_onmouseover,has_onclick,has_eval,Label
557,43,0,0,0,1,0,0,0,0,0,0,0,0,0,
36,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
233,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
395,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
422,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
93,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
244,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
94,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
55,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
45,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
98,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
43,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
34,8,0,0,0,0,1,0,0,1,0,1,0,0,0,1.0
101,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
52,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
380,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
41,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
43,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
110,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
111,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
98,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
906,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
331,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
166,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
53,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
95,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
58,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
104,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
809,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
955,74,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
77,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
195,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
111,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
103,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
89,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
48,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
95,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,6,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0
61,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
93,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
47,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
91,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
46,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
